--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.000  000.000: --- NVIM STARTING ---
000.062  000.062: event init
000.184  000.122: early init
000.449  000.264: locale set
000.475  000.026: init first window
000.868  000.393: inits 1
000.886  000.018: window checked
000.890  000.004: parsing arguments
001.321  000.037  000.037: require('vim.shared')
001.400  000.032  000.032: require('vim.inspect')
001.438  000.030  000.030: require('vim._options')
001.440  000.116  000.054: require('vim._editor')
001.442  000.184  000.030: require('vim._init_packages')
001.444  000.371: init lua interpreter
003.258  001.814: expanding arguments
003.270  000.012: inits 2
003.541  000.271: init highlight
003.563  000.022: clear screen
003.694  000.013  000.013: require('vim.keymap')
004.524  000.130  000.130: sourcing nvim_exec2()
004.676  001.110  000.967: require('vim._defaults')
004.678  000.005: init default mappings & autocommands
005.297  000.048  000.048: sourcing /opt/homebrew/Cellar/neovim/0.11.3/share/nvim/runtime/ftplugin.vim
005.383  000.024  000.024: sourcing /opt/homebrew/Cellar/neovim/0.11.3/share/nvim/runtime/indent.vim
022.559  000.009  000.009: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
022.563  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
022.565  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
022.567  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
022.570  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
022.576  000.004  000.004: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
022.582  000.004  000.004: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
022.600  000.016  000.016: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
022.605  000.003  000.003: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
022.608  000.002  000.002: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
022.610  017.074  017.032: require('options')
